session_id,date,available_capacity,min_age_limit,allow_all_age,vaccine,available_capacity_dose1,available_capacity_dose2,max_age_limit,address,block,center_id,district
c18f75d6-2b3d-4003-a20b-4bd6e6aab2e0,06-09-2021,37,18,True,COVISHIELD,19,18,,HAUZ RANI MALVIYA NAGAR,Not Applicable,616413,South Delhi
7eaba3d2-fc14-4c5d-845b-1ef41904b601,03-09-2021,114,18,True,COVISHIELD,67,47,,GREATER KAILASH 1,Not Applicable,614941,South Delhi
8699bf93-b15b-4139-8535-678d1f0f4898,04-09-2021,98,18,True,COVISHIELD,58,40,,GREATER KAILASH 1,Not Applicable,614941,South Delhi
572d04b0-a43c-41f5-825f-1ce9c8821f1a,06-09-2021,134,18,True,COVISHIELD,71,63,,GREATER KAILASH 1,Not Applicable,614941,South Delhi
55e250fc-a16e-4e9d-a633-30ee81487632,07-09-2021,140,18,True,COVISHIELD,74,66,,GREATER KAILASH 1,Not Applicable,614941,South Delhi
80ab0d6a-b02f-47bd-8738-0581210384d6,08-09-2021,144,18,True,COVISHIELD,75,69,,GREATER KAILASH 1,Not Applicable,614941,South Delhi
0214e3f9-a381-43a2-a693-9331fce39b2d,09-09-2021,140,18,True,COVISHIELD,74,66,,GREATER KAILASH 1,Not Applicable,614941,South Delhi
05eec159-8452-451a-a68d-72579f756e16,03-09-2021,168,18,True,COVISHIELD,92,76,,Hope Oncology Clinic A-22 Hauz Khas Near Hauz Khas Market South Delhi New Delhi,Not Applicable,615529,South Delhi
8bdde45a-11b0-4157-9ecc-5398532335be,03-09-2021,116,18,True,COVAXIN,59,57,,Hope Oncology Clinic A-22 Hauz Khas Near Hauz Khas Market South Delhi New Delhi,Not Applicable,615529,South Delhi
8823161e-2990-4f56-bd58-410bcab6ebe5,04-09-2021,95,18,True,COVAXIN,52,43,,Hope Oncology Clinic A-22 Hauz Khas Near Hauz Khas Market South Delhi New Delhi,Not Applicable,615529,South Delhi
e74d07d9-74fd-4f3f-978d-3c4d387c654e,04-09-2021,120,18,True,COVISHIELD,92,28,,Hope Oncology Clinic A-22 Hauz Khas Near Hauz Khas Market South Delhi New Delhi,Not Applicable,615529,South Delhi
ca7bc765-f3ec-4da7-9991-16752c15a38d,06-09-2021,148,18,True,COVISHIELD,93,55,,Hope Oncology Clinic A-22 Hauz Khas Near Hauz Khas Market South Delhi New Delhi,Not Applicable,615529,South Delhi
7b8d0a01-718c-4bc4-afd8-0fb6fbdda17d,06-09-2021,129,18,True,COVAXIN,69,60,,Hope Oncology Clinic A-22 Hauz Khas Near Hauz Khas Market South Delhi New Delhi,Not Applicable,615529,South Delhi
0b5fbb0e-bbe1-4873-a37b-03b50abec900,07-09-2021,138,18,True,COVAXIN,68,70,,Hope Oncology Clinic A-22 Hauz Khas Near Hauz Khas Market South Delhi New Delhi,Not Applicable,615529,South Delhi
9da0885e-f540-4afb-b4b3-17efd80732ed,07-09-2021,187,18,True,COVISHIELD,97,90,,Hope Oncology Clinic A-22 Hauz Khas Near Hauz Khas Market South Delhi New Delhi,Not Applicable,615529,South Delhi
759f338d-302d-496c-bc53-387d586434d9,08-09-2021,141,18,True,COVAXIN,72,69,,Hope Oncology Clinic A-22 Hauz Khas Near Hauz Khas Market South Delhi New Delhi,Not Applicable,615529,South Delhi
c48ec28c-8624-4e64-b8e8-0a78aa665d49,08-09-2021,191,18,True,COVISHIELD,99,92,,Hope Oncology Clinic A-22 Hauz Khas Near Hauz Khas Market South Delhi New Delhi,Not Applicable,615529,South Delhi
c63a3a80-f64c-4e63-8573-42485382253d,09-09-2021,191,18,True,COVISHIELD,99,92,,Hope Oncology Clinic A-22 Hauz Khas Near Hauz Khas Market South Delhi New Delhi,Not Applicable,615529,South Delhi
